Country,State,Year,Youth Hostel Locations,"Youth Hostels Constructed (UOM:Number), Scaling Factor:1"
India,Punjab,"Financial Year (Apr - Mar), 2019","Amritsar, Jalandhar, Patiala, Ropar, Sangrur, Tarn Taran",6.0000000000000000
India,Rajasthan,"Financial Year (Apr - Mar), 2019","Ajmer, Jaipur, Jodhpur, Udaipur",4.0000000000000000
India,Sikkim,"Financial Year (Apr - Mar), 2019",Gangtok,1.00000000000000000000
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019","Chennai, Madurai, Ooty, Thanjavaur, Trichy",5.0000000000000000
India,Telangana,"Financial Year (Apr - Mar), 2019","Nagarjunasagar, Secunderabad, Warangal",3.0000000000000000
India,Tripura,"Financial Year (Apr - Mar), 2019",Agartala,1.00000000000000000000
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019","Agra, Lucknow",2.0000000000000000
India,Uttarakhand,"Financial Year (Apr - Mar), 2019","Badrinath, Mussoorie, Nainital, Uttarkashi",4.0000000000000000
India,West Bengal,"Financial Year (Apr - Mar), 2019",Darjeeling,1.00000000000000000000
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2018",Port Blair,1.00000000000000000000
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018","Kadapa, Tirupati, Vijayawada, Visakhapatnam, Vizianagaram",5.0000000000000000
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",Naharlagun,1.00000000000000000000
India,Assam,"Financial Year (Apr - Mar), 2018","Guwahati,Tezpur",2.0000000000000000
India,Bihar,"Financial Year (Apr - Mar), 2018",Patna,1.00000000000000000000
India,Goa,"Financial Year (Apr - Mar), 2018","Panaji, PeddemMapusa",2.0000000000000000
India,Gujarat,"Financial Year (Apr - Mar), 2018",Gandhinagar,1.00000000000000000000
India,Haryana,"Financial Year (Apr - Mar), 2018","Bhiwani, Gurgaon, Kurukshetra, Panchkula, RewariSirsa, Yamuna Nagar",7.0000000000000000
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2018",Dalhousie,1.00000000000000000000
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2018","Patnitop, Srinagar",2.0000000000000000
India,Karnataka,"Financial Year (Apr - Mar), 2018","Hassan, Mysore, Sogalu, Tirtharameshwar",4.0000000000000000
India,Kerala,"Financial Year (Apr - Mar), 2018","Calicut (Kozhikode), Ernakulam (Kochi), Trivandrum",3.0000000000000000
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018","Bhopal, Jabalpur, Khajuraho",3.0000000000000000
